doc_id,rank,keyword,tfidf_score
DOC0039,9,hook,0.088741
DOC0039,10,dobbi,0.084872
DOC0040,1,imag,0.469872
DOC0040,2,googl,0.288765
DOC0040,3,creat,0.231843
DOC0040,4,lucki,0.227126
DOC0040,5,inappropri,0.2054
DOC0040,6,gmail,0.2054
DOC0040,7,brainstorm,0.2054
DOC0040,8,dark,0.189984
DOC0040,9,send,0.178027
DOC0040,10,app,0.168258
DOC0041,1,track,0.547498
DOC0041,2,trec,0.540157
DOC0041,3,goal,0.263058
DOC0041,4,retriev,0.202093
DOC0041,5,nist,0.159391
DOC0041,6,evalu,0.109181
DOC0041,7,inform,0.106943
DOC0041,8,document,0.106134
DOC0041,9,hoc,0.10231
DOC0041,10,collect,0.092182
DOC0042,1,refer,0.600891
DOC0042,2,retriev,0.315824
DOC0042,3,inform,0.2965
DOC0042,4,monolingu,0.157991
DOC0042,5,tiedonhaku,0.157991
DOC0042,6,entri,0.152009
DOC0042,7,name,0.148978
DOC0042,8,subject,0.145567
DOC0042,9,finnish,0.132155
DOC0042,10,informationss,0.131659
DOC0043,1,und,0.398978
DOC0043,2,der,0.380005
DOC0043,3,die,0.321243
DOC0043,4,bearbeiten,0.312307
DOC0043,5,ein,0.239862
DOC0043,6,dokument,0.201864
DOC0043,7,da,0.189989
DOC0043,8,den,0.166892
DOC0043,9,werden,0.153314
DOC0043,10,quelltext,0.153314
DOC0044,1,summar,0.431234
DOC0044,2,document,0.347867
DOC0044,3,multi,0.241118
DOC0044,4,summari,0.24108
DOC0044,5,extract,0.228428
DOC0044,6,text,0.19072
DOC0044,7,news,0.170684
DOC0044,8,semant,0.125168
DOC0044,9,inform,0.118438
DOC0044,10,cluster,0.107802
DOC0045,1,doi,0.669521
DOC0045,2,identifi,0.280958
DOC0045,3,iso,0.233425
DOC0045,4,object,0.203945
DOC0045,5,standard,0.143928
DOC0045,6,registr,0.137713
DOC0045,7,origin,0.125479
DOC0045,8,archiv,0.121316
DOC0045,9,crossref,0.117771
DOC0045,10,prefix,0.116713
DOC0046,1,freedom,0.657214
DOC0046,2,internet,0.429992
DOC0046,3,right,0.261662
DOC0046,4,liberti,0.172327
DOC0046,5,human,0.111068
DOC0046,6,libertarian,0.106463
DOC0046,7,law,0.099223
DOC0046,8,dsa,0.088293
DOC0046,9,edit,0.087654
DOC0046,10,censorship,0.08293
DOC0047,1,informaci,0.308936
DOC0047,2,rellev,0.267766
DOC0047,3,una,0.267202
DOC0047,4,precisi,0.250502
DOC0047,5,reclam,0.2493
DOC0047,6,el,0.240066
DOC0047,7,recuperaci,0.216255
DOC0047,8,que,0.201635
DOC0047,9,displaystyl,0.196578
DOC0047,10,del,0.164164
DOC0048,1,free,0.484566
DOC0048,2,wikimedia,0.281056
DOC0048,3,mediawiki,0.230312
DOC0048,4,knowledg,0.212542
DOC0048,5,project,0.206689
DOC0048,6,freeli,0.19396
DOC0048,7,wiki,0.1646
DOC0048,8,movement,0.153748
DOC0048,9,content,0.140528
DOC0048,10,librari,0.134121
DOC0049,1,intellectu,0.531718
DOC0049,2,properti,0.450566
DOC0049,3,law,0.330877
DOC0049,4,right,0.221516
DOC0049,5,copyright,0.193634
DOC0049,6,patent,0.187781
DOC0049,7,trade,0.160314
DOC0049,8,infring,0.120591
DOC0049,9,protect,0.120244
DOC0049,10,tax,0.097456
